,repository_name,languages
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,PHP
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,.github,
31,ads-advanced-tools-docs,Jupyter Notebook
32,ads-pao-amznjs-gtm-server-side-template,Smarty
33,ads-pao-amznjs-gtm-template,Smarty
34,alexa-coho,JavaScript
35,alexa-skills-kit-js,
36,amazon-ads-advertiser-audience-normalization-sdk-py,Python
37,amazon-advertising-api-php-sdk,PHP
38,amazon-codeguru-profiler-for-spark,Java
39,amazon-frustration-free-setup-certification-tool,Python
40,amazon-hub-counter-api-docs,CSS
41,amazon-hub-counter-api-samples,Java
42,amazon-hub-counter-sdk-java,Java
43,amazon-hub-support,PowerShell
44,amazon-instant-access-sdk-java,Java
45,amazon-instant-access-sdk-net,C#
46,amazon-instant-access-sdk-php,PHP
47,amazon-instant-access-sdk-ruby,Ruby
48,amazon-launcher-integration-cordova-plugin,JavaScript
49,amazon-marketing-stream-examples,Python
50,amazon-mcf-plugin-for-magento-1,PHP
51,amazon-multi-token-completion,Python
52,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
53,amazon-pay-api-sdk-dotnet,C#
54,amazon-pay-api-sdk-java,Java
55,amazon-pay-api-sdk-nodejs,JavaScript
56,amazon-pay-api-sdk-php,PHP
57,amazon-pay-api-sdk-ruby,Ruby
58,amazon-pay-code-samples,PHP
59,amazon-pay-sdk-csharp,C#
60,.github,
61,ads-advanced-tools-docs,Jupyter Notebook
62,ads-pao-amznjs-gtm-server-side-template,Smarty
63,ads-pao-amznjs-gtm-template,Smarty
64,alexa-coho,JavaScript
65,alexa-skills-kit-js,
66,amazon-ads-advertiser-audience-normalization-sdk-py,Python
67,amazon-advertising-api-php-sdk,PHP
68,amazon-codeguru-profiler-for-spark,Java
69,amazon-frustration-free-setup-certification-tool,Python
70,amazon-hub-counter-api-docs,CSS
71,amazon-hub-counter-api-samples,Java
72,amazon-hub-counter-sdk-java,Java
73,amazon-hub-support,PowerShell
74,amazon-instant-access-sdk-java,Java
75,amazon-instant-access-sdk-net,C#
76,amazon-instant-access-sdk-php,PHP
77,amazon-instant-access-sdk-ruby,Ruby
78,amazon-launcher-integration-cordova-plugin,JavaScript
79,amazon-marketing-stream-examples,Python
80,amazon-mcf-plugin-for-magento-1,PHP
81,amazon-multi-token-completion,Python
82,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
83,amazon-pay-api-sdk-dotnet,C#
84,amazon-pay-api-sdk-java,Java
85,amazon-pay-api-sdk-nodejs,JavaScript
86,amazon-pay-api-sdk-php,PHP
87,amazon-pay-api-sdk-ruby,Ruby
88,amazon-pay-code-samples,PHP
89,amazon-pay-sdk-csharp,C#
90,.github,
91,ads-advanced-tools-docs,Jupyter Notebook
92,ads-pao-amznjs-gtm-server-side-template,Smarty
93,ads-pao-amznjs-gtm-template,Smarty
94,alexa-coho,JavaScript
95,alexa-skills-kit-js,
96,amazon-ads-advertiser-audience-normalization-sdk-py,Python
97,amazon-advertising-api-php-sdk,PHP
98,amazon-codeguru-profiler-for-spark,Java
99,amazon-frustration-free-setup-certification-tool,Python
100,amazon-hub-counter-api-docs,CSS
101,amazon-hub-counter-api-samples,Java
102,amazon-hub-counter-sdk-java,Java
103,amazon-hub-support,PowerShell
104,amazon-instant-access-sdk-java,Java
105,amazon-instant-access-sdk-net,C#
106,amazon-instant-access-sdk-php,PHP
107,amazon-instant-access-sdk-ruby,Ruby
108,amazon-launcher-integration-cordova-plugin,JavaScript
109,amazon-marketing-stream-examples,Python
110,amazon-mcf-plugin-for-magento-1,PHP
111,amazon-multi-token-completion,Python
112,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
113,amazon-pay-api-sdk-dotnet,C#
114,amazon-pay-api-sdk-java,Java
115,amazon-pay-api-sdk-nodejs,JavaScript
116,amazon-pay-api-sdk-php,PHP
117,amazon-pay-api-sdk-ruby,Ruby
118,amazon-pay-code-samples,PHP
119,amazon-pay-sdk-csharp,C#
120,.github,
121,ads-advanced-tools-docs,Jupyter Notebook
122,ads-pao-amznjs-gtm-server-side-template,Smarty
123,ads-pao-amznjs-gtm-template,Smarty
124,alexa-coho,JavaScript
125,alexa-skills-kit-js,
126,amazon-ads-advertiser-audience-normalization-sdk-py,Python
127,amazon-advertising-api-php-sdk,PHP
128,amazon-codeguru-profiler-for-spark,Java
129,amazon-frustration-free-setup-certification-tool,Python
130,amazon-hub-counter-api-docs,CSS
131,amazon-hub-counter-api-samples,Java
132,amazon-hub-counter-sdk-java,Java
133,amazon-hub-support,PowerShell
134,amazon-instant-access-sdk-java,Java
135,amazon-instant-access-sdk-net,C#
136,amazon-instant-access-sdk-php,PHP
137,amazon-instant-access-sdk-ruby,Ruby
138,amazon-launcher-integration-cordova-plugin,JavaScript
139,amazon-marketing-stream-examples,Python
140,amazon-mcf-plugin-for-magento-1,PHP
141,amazon-multi-token-completion,Python
142,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
143,amazon-pay-api-sdk-dotnet,C#
144,amazon-pay-api-sdk-java,Java
145,amazon-pay-api-sdk-nodejs,JavaScript
146,amazon-pay-api-sdk-php,PHP
147,amazon-pay-api-sdk-ruby,Ruby
148,amazon-pay-code-samples,PHP
149,amazon-pay-sdk-csharp,C#
